j,dist
15752,1.2355951235201441
2341,1.2356117344925586
45502,1.2357357854060584
29252,1.2357844998536085
64991,1.2360491692569768
52147,1.236055392591688
67671,1.2360816001330974
71783,1.2360999632953242
27837,1.236167838112835
35743,1.2361827669477106
35742,1.2363733078833135
39424,1.236428062597385
2340,1.2364472107216768
27836,1.2364487417839047
52146,1.2365428883311607
45433,1.2366235179191913
45432,1.2367205678000268
1836,1.2367650750463957
33506,1.236794109349828
52770,1.2368111331963125
52771,1.236855279252439
19888,1.23685996795035
39425,1.2370009332830374
29253,1.237011501844954
17472,1.2370749851537
1837,1.237135699970082
69706,1.2373129223024983
69499,1.2373833227523487
46221,1.2374093612341455
48732,1.2374317918839015
67583,1.2375472417406888
64059,1.2377269804184443
64058,1.2377550173710952
42562,1.2377619931169148
67582,1.2377633377958137
42286,1.237831525969329
55706,1.2379276616174322
17473,1.2380492046319755
55707,1.2380786039174174
48733,1.2382013499505686
63696,1.2382399346142496
69705,1.2383077202534845
21085,1.238377599371785
46220,1.2383890020643236
57829,1.2384405260994782
57828,1.2385877239241407
32958,1.2386242814863213
63697,1.238722321679727
9815,1.2388104324100038
57397,1.2388238851965068
32211,1.2388296720668104
9814,1.2389066288988855
57396,1.2390016351501465
54937,1.2390186839746593
13869,1.2390595059254808
32959,1.239097272258651
45010,1.2392220666820561
32210,1.239305138360819
5022,1.2393107526278468
1301,1.2393293832096863
42835,1.23942440149337
2260,1.2394654576982675
71949,1.2394672096808046
45491,1.2395113855496525
26734,1.2395256054392016
45737,1.2395512001819669
13868,1.2396013277494915
2539,1.2396636943426331
33758,1.2397023728254124
2538,1.2397165764232987
60177,1.239738392848876
45011,1.2398050419525295
15336,1.2398099775012246
26735,1.2398280332988374
5023,1.2399546204724206
6613,1.2399717111305395
67568,1.240018664221953
71948,1.2400221668006257
48361,1.2401115297490113
45736,1.2401944063356662
2261,1.2401954941033098
39572,1.2402126498849837
34144,1.240245821162533
43622,1.2402754406092333
16636,1.2403537134753089
48360,1.240434042038555
26736,1.240468823944378
55703,1.240508706888963
61540,1.2405197378104695
55702,1.2405635721171895
